"home_team","away_team","home_score","home_xg","home_penalty","away_score","away_xg","away_penalty","home_manager","home_captain","away_manager","away_captain","home_goals","away_goals","Attendance","Venue","Officials","Date","Score","Referee","Notes","Round","Host","Year"
"Argentina","Iceland",1,1.9,NA,1,1,NA,"Jorge Sampaoli","Lionel Messi","Heimir Hallgrímsson","Aron Gunnarsson","Sergio Agüero · 19","Alfreð Finnbogason · 23",44190,"Otkrytie Arena, Moskva","Szymon Marciniak (Referee) · Paweł Sokolnicki (AR1) · Tomasz Listkiewicz (AR2) · Wilmar Roldán (4th) · Mark Geiger (VAR)",2018-06-16,"1–1","Szymon Marciniak",NA,"Group stage","Russia",2018
"Peru","Denmark",0,1.7,NA,1,1,NA,"Ricardo Gareca","Alberto Rodríguez","Åge Hareide","Simon Kjær",NA,"Yussuf Poulsen · 59",40502,"Mordovia Arena, Saransk","Bakary Papa Gassama (Referee) · Jean-Claude Birumushahu (AR1) · Abdelhak Etchiali (AR2) · Mehdi Abid Charef (4th) · Felix Zwayer (VAR)",2018-06-16,"0–1","Bakary Papa Gassama",NA,"Group stage","Russia",2018
"Croatia","Nigeria",2,1.5,NA,0,0.7,NA,"Zlatko Dalić","Luka Modrić","Gernot Rohr","John Obi Mikel","Oghenekaro Etebo (OG) · 32|Luka Modrić (P) · 71",NA,31136,"Kaliningrad Stadium, Kaliningrad","Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Antonio Matéu Lahoz (4th) · Daniele Orsato (VAR)",2018-06-16,"2–0","Sandro Ricci",NA,"Group stage","Russia",2018
"Egypt","Uruguay",0,0.3,NA,1,1.6,NA,"Héctor Cúper","Ahmed Fathy","Óscar Tabárez","Diego Godín",NA,"José María Giménez · 89",27015,"Stadion Central'nyj, Yekaterinburg","Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Milorad Mažić (4th) · Danny Makkelie (VAR)",2018-06-15,"0–1","Björn Kuipers",NA,"Group stage","Russia",2018
"Morocco","IR Iran",0,0.7,NA,1,1,NA,"Hervé Renard","Medhi Benatia","Carlos Queiroz","Masoud Shojaei",NA,"Aziz Bouhaddouz (OG) · 90+5",62548,"Gazprom Arena, Sankt-Petersburg","Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Sergey Karasev (4th) · Felix Zwayer (VAR)",2018-06-15,"0–1","Cüneyt Çakιr",NA,"Group stage","Russia",2018
"Portugal","Spain",3,1.2,NA,3,1.6,NA,"Fernando Santos","Cristiano Ronaldo","Fernando Hierro","Sergio Ramos","Cristiano Ronaldo (P) · 4|Cristiano Ronaldo · 44|Cristiano Ronaldo · 88","Diego Costa · 24|Diego Costa · 55|Nacho · 58",43866,"Olimpiyskiy Stadion Fisht, Sochi","Gianluca Rocchi (Referee) · Elenito Di Liberatore (AR1) · Mauro Tonolini (AR2) · Ryūji Satō (4th) · Massimiliano Irrati (VAR)",2018-06-15,"3–3","Gianluca Rocchi",NA,"Group stage","Russia",2018
"Russia","Saudi Arabia",5,1.7,NA,0,0.2,NA,"Stanislav Cherchesov","Igor Akinfeev","Juan Antonio Pizzi","Osama Hawsawi","Yuri Gazinskiy · 12|Denis Cheryshev · 43|Artem Dzyuba · 71|Denis Cheryshev · 90+1|Aleksandr Golovin · 90+5",NA,78011,"Olimpiyskiy stadion Luzhniki, Moskva","Néstor Pitana (Referee) · Juan Pablo Belatti (AR1) · Hernán Maidana (AR2) · Sandro Ricci (4th) · Massimiliano Irrati (VAR)",2018-06-14,"5–0","Néstor Pitana",NA,"Group stage","Russia",2018
"Germany","Argentina",1,NA,NA,0,NA,NA,"Joachim Löw",NA,"Alejandro Sabella",NA,"Mario Götze · 113",NA,74738,"Estadio Jornalista Mário Filho, Rio de Janeiro","Nicola Rizzoli (Referee) · Renato Faverani (AR1) · Andrea Stefani (AR2) · Carlos Vera (4th)",2014-07-13,"1–0","Nicola Rizzoli","Required Extra Time","Final","Brazil",2014
"Brazil","Netherlands",0,NA,NA,3,NA,NA,"Luiz Felipe Scolari",NA,"Louis van Gaal",NA,NA,"Robin van Persie (P) · 3|Daley Blind · 17|Georginio Wijnaldum · 90+1",68034,"Estádio Nacional de Brasília, Brasília","Djamel Haïmoudi (Referee) · Redouane Achik (AR1) · Abdelhak Etchiali (AR2) · Yuichi Nishimura (4th)",2014-07-12,"0–3","Djamel Haïmoudi",NA,"Third-place match","Brazil",2014
"Netherlands","Argentina",0,NA,2,0,NA,4,"Louis van Gaal",NA,"Alejandro Sabella",NA,NA,NA,63267,"Arena Corinthians, São Paulo","Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Jonas Eriksson (4th)",2014-07-09,"(2) 0–0 (4)","Cüneyt Çakιr","Argentina won on penalty kicks following extra time","Semi-finals","Brazil",2014
"Brazil","Germany",1,NA,NA,7,NA,NA,"Luiz Felipe Scolari",NA,"Joachim Löw",NA,"Oscar · 90","Thomas Müller · 11|Miroslav Klose · 23|Toni Kroos · 24|Toni Kroos · 26|Sami Khedira · 29|André Schürrle · 69|André Schürrle · 79",58141,"Estádio Governador Magalhães Pinto, Belo Horizonte","Marco Antonio Rodríguez (Referee) · Marvin Torrentera (AR1) · Marcos Quintero (AR2) · Mark Geiger (4th)",2014-07-08,"1–7","Marco Antonio Rodríguez",NA,"Semi-finals","Brazil",2014
"Argentina","Belgium",1,NA,NA,0,NA,NA,"Alejandro Sabella",NA,"Marc Wilmots",NA,"Gonzalo Higuaín · 8",NA,68551,"Estádio Nacional de Brasília, Brasília","Nicola Rizzoli (Referee) · Renato Faverani (AR1) · Andrea Stefani (AR2) · Benjamin Williams (4th)",2014-07-05,"1–0","Nicola Rizzoli",NA,"Quarter-finals","Brazil",2014
"Netherlands","Costa Rica",0,NA,4,0,NA,3,"Louis van Gaal",NA,"Jorge Luis Pinto",NA,NA,NA,51179,"Itaipava Arena Fonte Nova, Salvador","Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Bahadır Koçkarov (AR2) · Noumandiez Doué (4th)",2014-07-05,"(4) 0–0 (3)","Ravshan Irmatov","Netherlands won on penalty kicks following extra time","Quarter-finals","Brazil",2014
"France","Germany",0,NA,NA,1,NA,NA,"Didier Deschamps",NA,"Joachim Löw",NA,NA,"Mats Hummels · 13",74240,"Estadio Jornalista Mário Filho, Rio de Janeiro","Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Jonas Eriksson (4th)",2014-07-04,"0–1","Néstor Pitana",NA,"Quarter-finals","Brazil",2014
"Brazil","Colombia",2,NA,NA,1,NA,NA,"Luiz Felipe Scolari",NA,"José Pekerman",NA,"Thiago Silva · 7|David Luiz · 69","James Rodríguez (P) · 80",60342,"Estádio Castelão, Fortaleza","Carlos Velasco (Referee) · Roberto Alonso (AR1) · Juan Carlos Yuste (AR2) · Svein Oddvar Moen (4th)",2014-07-04,"2–1","Carlos Velasco",NA,"Quarter-finals","Brazil",2014
"Argentina","Switzerland",1,NA,NA,0,NA,NA,"Alejandro Sabella",NA,"Ottmar Hitzfeld",NA,"Ángel Di María · 118",NA,63255,"Arena Corinthians, São Paulo","Jonas Eriksson (Referee) · Mathias Klasenius (AR1) · Daniel Wärnmark (AR2) · Svein Oddvar Moen (4th)",2014-07-01,"1–0","Jonas Eriksson","Required Extra Time","Round of 16","Brazil",2014
"Belgium","United States",2,NA,NA,1,NA,NA,"Marc Wilmots",NA,"Jürgen Klinsmann",NA,"Kevin De Bruyne · 93|Romelu Lukaku · 105","Julian Green · 107",51227,"Itaipava Arena Fonte Nova, Salvador","Djamel Haïmoudi (Referee) · Redouane Achik (AR1) · Abdelhak Etchiali (AR2) · Norbert Hauata (4th)",2014-07-01,"2–1","Djamel Haïmoudi","Required Extra Time","Round of 16","Brazil",2014
"France","Nigeria",2,NA,NA,0,NA,NA,"Didier Deschamps",NA,"Stephen Keshi",NA,"Paul Pogba · 79|Joseph Yobo (OG) · 90+2",NA,67882,"Estádio Nacional de Brasília, Brasília","Mark Geiger (Referee) · Sean Hurd (AR1) · Joe Fletcher (AR2) · Alireza Faghani (4th)",2014-06-30,"2–0","Mark Geiger",NA,"Round of 16","Brazil",2014
"Germany","Algeria",2,NA,NA,1,NA,NA,"Joachim Löw",NA,"Vahid Halilhodžić",NA,"André Schürrle · 92|Mesut Özil · 119","Abdelmoumene Djabou · 120+1",43063,"Estádio José Pinheiro Borba, Porto Alegre","Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Walter López (4th)",2014-06-30,"2–1","Sandro Ricci","Required Extra Time","Round of 16","Brazil",2014
"Netherlands","Mexico",2,NA,NA,1,NA,NA,"Louis van Gaal",NA,"Miguel Herrera",NA,"Wesley Sneijder · 88|Klaas-Jan Huntelaar (P) · 90+4","Giovani dos Santos · 48",58817,"Estádio Castelão, Fortaleza","Pedro Proença (Referee) · Bertino Miranda (AR1) · José Trigo (AR2) · Carlos Vera (4th)",2014-06-29,"2–1","Pedro Proença",NA,"Round of 16","Brazil",2014
"Costa Rica","Greece",1,NA,5,1,NA,3,"Jorge Luis Pinto",NA,"Fernando Santos",NA,"Bryan Ruiz · 52|Óscar Duarte · 66","Sokratis Papastathopoulos · 90+1",41242,"Itaipava Arena Pernambuco, Recife","Benjamin Williams (Referee) · Matthew Cream (AR1) · Hakan Anaz (AR2) · Nawaf Shukralla (4th)",2014-06-29,"(5) 1–1 (3)","Benjamin Williams","Costa Rica won on penalty kicks following extra time","Round of 16","Brazil",2014
"Brazil","Chile",1,NA,3,1,NA,2,"Luiz Felipe Scolari",NA,"Jorge Sampaoli",NA,"David Luiz · 18","Alexis Sánchez · 32",57714,"Estádio Governador Magalhães Pinto, Belo Horizonte","Howard Webb (Referee) · Michael Mullarkey (AR1) · Darren Cann (AR2) · Felix Brych (4th)",2014-06-28,"(3) 1–1 (2)","Howard Webb","Brazil won on penalty kicks following extra time","Round of 16","Brazil",2014
"Colombia","Uruguay",2,NA,NA,0,NA,NA,"José Pekerman",NA,"Óscar Tabárez",NA,"James Rodríguez · 29|James Rodríguez · 50",NA,73804,"Estadio Jornalista Mário Filho, Rio de Janeiro","Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Svein Oddvar Moen (4th)",2014-06-28,"2–0","Björn Kuipers",NA,"Round of 16","Brazil",2014
"United States","Germany",0,NA,NA,1,NA,NA,"Jürgen Klinsmann",NA,"Joachim Löw",NA,NA,"Thomas Müller · 55",41876,"Itaipava Arena Pernambuco, Recife","Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Bahadır Koçkarov (AR2) · Alioum Alioum (4th)",2014-06-26,"0–1","Ravshan Irmatov",NA,"Group stage","Brazil",2014
"Portugal","Ghana",2,NA,NA,1,NA,NA,"Paulo Bento",NA,"Kwesi Appiah",NA,"John Boye (OG) · 31|Cristiano Ronaldo · 80","Asamoah Gyan · 57",67540,"Estádio Nacional de Brasília, Brasília","Nawaf Shukralla (Referee) · Yaser Tulefat (AR1) · Ebrahim Saleh (AR2) · Wilmar Roldán (4th)",2014-06-26,"2–1","Nawaf Shukralla",NA,"Group stage","Brazil",2014
"Korea Republic","Belgium",0,NA,NA,1,NA,NA,"Hong Myung-bo",NA,"Marc Wilmots",NA,NA,"Steven Defour · 44|Jan Vertonghen · 77",61397,"Arena Corinthians, São Paulo","Benjamin Williams (Referee) · Matthew Cream (AR1) · Hakan Anaz (AR2) · Víctor Carrillo (4th)",2014-06-26,"0–1","Benjamin Williams",NA,"Group stage","Brazil",2014
"Algeria","Russia",1,NA,NA,1,NA,NA,"Vahid Halilhodžić",NA,"Fabio Capello",NA,"Islam Slimani · 60","Aleksandr Kokorin · 6",39311,"Estádio Joaquim Américo Guimarães, Curitiba","Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Joel Aguilar (4th)",2014-06-26,"1–1","Cüneyt Çakιr",NA,"Group stage","Brazil",2014
"Bosnia and Herzegovina","IR Iran",3,NA,NA,1,NA,NA,"Safet Sušić",NA,"Carlos Queiroz",NA,"Edin Džeko · 23|Miralem Pjanić · 59|Avdija Vršajević · 83","Reza Ghoochannejad · 82",48011,"Itaipava Arena Fonte Nova, Salvador","Carlos Velasco (Referee) · Roberto Alonso (AR1) · Juan Carlos Yuste (AR2) · Enrique Osses (4th)",2014-06-25,"3–1","Carlos Velasco",NA,"Group stage","Brazil",2014
"Nigeria","Argentina",2,NA,NA,3,NA,NA,"Stephen Keshi",NA,"Alejandro Sabella",NA,"Ahmed Musa · 4|Ahmed Musa · 47","Lionel Messi · 3|Lionel Messi · 45+1|Marcos Rojo · 50",43285,"Estádio José Pinheiro Borba, Porto Alegre","Nicola Rizzoli (Referee) · Renato Faverani (AR1) · Andrea Stefani (AR2) · Svein Oddvar Moen (4th)",2014-06-25,"2–3","Nicola Rizzoli",NA,"Group stage","Brazil",2014
"Honduras","Switzerland",0,NA,NA,3,NA,NA,"Luis Suárez",NA,"Ottmar Hitzfeld",NA,NA,"Xherdan Shaqiri · 6|Xherdan Shaqiri · 31|Xherdan Shaqiri · 71",40322,"Arena da Amazônia, Manaus","Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Milorad Mažić (4th)",2014-06-25,"0–3","Néstor Pitana",NA,"Group stage","Brazil",2014
"Ecuador","France",0,NA,NA,0,NA,NA,"Reinaldo Rueda",NA,"Didier Deschamps",NA,"Antonio Valencia · 50",NA,73749,"Estadio Jornalista Mário Filho, Rio de Janeiro","Noumandiez Doué (Referee) · Songuifolo Yéo (AR1) · Jean-Claude Birumushahu (AR2) · Björn Kuipers (4th)",2014-06-25,"0–0","Noumandiez Doué",NA,"Group stage","Brazil",2014
"Costa Rica","England",0,NA,NA,0,NA,NA,"Jorge Luis Pinto",NA,"Roy Hodgson",NA,NA,NA,57823,"Estádio Governador Magalhães Pinto, Belo Horizonte","Djamel Haïmoudi (Referee) · Redouane Achik (AR1) · Abdelhak Etchiali (AR2) · Alireza Faghani (4th)",2014-06-24,"0–0","Djamel Haïmoudi",NA,"Group stage","Brazil",2014
"Italy","Uruguay",0,NA,NA,1,NA,NA,"Cesare Prandelli",NA,"Óscar Tabárez",NA,"Claudio Marchisio · 59","Diego Godín · 81",39706,"Arena das Dunas, Natal","Marco Antonio Rodríguez (Referee) · Marvin Torrentera (AR1) · Marcos Quintero (AR2) · Mark Geiger (4th)",2014-06-24,"0–1","Marco Antonio Rodríguez",NA,"Group stage","Brazil",2014
"Japan","Colombia",1,NA,NA,4,NA,NA,"Alberto Zaccheroni",NA,"José Pekerman",NA,"Shinji Okazaki · 45+1","Juan Cuadrado (P) · 17|Jackson Martínez · 55|Jackson Martínez · 82|James Rodríguez · 90",40340,"Arena Pantanal, Cuiabá","Pedro Proença (Referee) · Bertino Miranda (AR1) · José Trigo (AR2) · Roberto Moreno (4th)",2014-06-24,"1–4","Pedro Proença",NA,"Group stage","Brazil",2014
"Greece","Côte d'Ivoire",2,NA,NA,1,NA,NA,"Fernando Santos",NA,"Sabri Lamouchi",NA,"Andreas Samaris · 42|Georgios Samaras (P) · 90+3","Wilfried Bony · 74",59095,"Estádio Castelão, Fortaleza","Carlos Vera (Referee) · Christian Lescano (AR1) · Byron Romero (AR2) · Sandro Ricci (4th)",2014-06-24,"2–1","Carlos Vera",NA,"Group stage","Brazil",2014
"Australia","Spain",0,NA,NA,3,NA,NA,"Ange Postecoglou",NA,"Del Bosque",NA,NA,"David Villa · 36|Fernando Torres · 69|Juan Mata · 82",39375,"Estádio Joaquim Américo Guimarães, Curitiba","Nawaf Shukralla (Referee) · Yaser Tulefat (AR1) · Ebrahim Saleh (AR2) · Norbert Hauata (4th)",2014-06-23,"0–3","Nawaf Shukralla",NA,"Group stage","Brazil",2014
"Netherlands","Chile",2,NA,NA,0,NA,NA,"Louis van Gaal",NA,"Jorge Sampaoli",NA,"Leroy Fer · 77|Memphis Depay · 90+2",NA,62996,"Arena Corinthians, São Paulo","Bakary Papa Gassama (Referee) · Evarist Menkouande (AR1) · Félicien Kabanda (AR2) · Joel Aguilar (4th)",2014-06-23,"2–0","Bakary Papa Gassama",NA,"Group stage","Brazil",2014
"Croatia","Mexico",1,NA,NA,3,NA,NA,"Niko Kovač",NA,"Miguel Herrera",NA,"Ivan Perišić · 87|Ante Rebić · 89","Rafael Márquez · 72|Andrés Guardado · 75|Javier Hernández · 82",41212,"Itaipava Arena Pernambuco, Recife","Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Bahadır Koçkarov (AR2) · Alioum Alioum (4th)",2014-06-23,"1–3","Ravshan Irmatov",NA,"Group stage","Brazil",2014
"Cameroon","Brazil",1,NA,NA,4,NA,NA,"Volker Finke",NA,"Luiz Felipe Scolari",NA,"Joël Matip · 26","Neymar · 17|Neymar · 35|Fred · 49|Fernandinho · 84",69112,"Estádio Nacional de Brasília, Brasília","Jonas Eriksson (Referee) · Mathias Klasenius (AR1) · Daniel Wärnmark (AR2) · Svein Oddvar Moen (4th)",2014-06-23,"1–4","Jonas Eriksson",NA,"Group stage","Brazil",2014
"Belgium","Russia",1,NA,NA,0,NA,NA,"Marc Wilmots",NA,"Fabio Capello",NA,"Divock Origi · 88",NA,73819,"Estadio Jornalista Mário Filho, Rio de Janeiro","Felix Brych (Referee) · Mark Borsch (AR1) · Stefan Lupp (AR2) · Carlos Vera (4th)",2014-06-22,"1–0","Felix Brych",NA,"Group stage","Brazil",2014
"Korea Republic","Algeria",2,NA,NA,4,NA,NA,"Hong Myung-bo",NA,"Vahid Halilhodžić",NA,"Son Heung-min · 50|Koo Ja-cheol · 72","Islam Slimani · 26|Rafik Halliche · 28|Abdelmoumene Djabou · 38|Yacine Brahimi · 62",42732,"Estádio José Pinheiro Borba, Porto Alegre","Wilmar Roldán (Referee) · Eduardo Díaz (AR1) · Christian Lescano (AR2) · Alireza Faghani (4th)",2014-06-22,"2–4","Wilmar Roldán",NA,"Group stage","Brazil",2014
"United States","Portugal",2,NA,NA,2,NA,NA,"Jürgen Klinsmann",NA,"Paulo Bento",NA,"Jermaine Jones · 64|Clint Dempsey · 81","Nani · 5|Silvestre Varela · 90+5",40123,"Arena da Amazônia, Manaus","Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Walter López (4th)",2014-06-22,"2–2","Néstor Pitana",NA,"Group stage","Brazil",2014
"Argentina","IR Iran",1,NA,NA,0,NA,NA,"Alejandro Sabella",NA,"Carlos Queiroz",NA,"Lionel Messi · 90+1",NA,57698,"Estádio Governador Magalhães Pinto, Belo Horizonte","Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · Norbert Hauata (4th)",2014-06-21,"1–0","Milorad Mažić",NA,"Group stage","Brazil",2014
"Germany","Ghana",2,NA,NA,2,NA,NA,"Joachim Löw",NA,"Kwesi Appiah",NA,"Mario Götze · 51|Miroslav Klose · 71","André Ayew · 54|Asamoah Gyan · 63",59621,"Estádio Castelão, Fortaleza","Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Víctor Carrillo (4th)",2014-06-21,"2–2","Sandro Ricci",NA,"Group stage","Brazil",2014
"Nigeria","Bosnia and Herzegovina",1,NA,NA,0,NA,NA,"Stephen Keshi",NA,"Safet Sušić",NA,"Peter Odemwingie · 29",NA,40499,"Arena Pantanal, Cuiabá","Peter O'Leary (Referee) · Jan-Hendrik Hintz (AR1) · Mark Rule (AR2) · Roberto Moreno (4th)",2014-06-21,"1–0","Peter O'Leary",NA,"Group stage","Brazil",2014
"Italy","Costa Rica",0,NA,NA,1,NA,NA,"Cesare Prandelli",NA,"Jorge Luis Pinto",NA,NA,"Bryan Ruiz · 44",40285,"Itaipava Arena Pernambuco, Recife","Enrique Osses (Referee) · Carlos Astroza (AR1) · Sergio Román (AR2) · Alioum Alioum (4th)",2014-06-20,"0–1","Enrique Osses",NA,"Group stage","Brazil",2014
"Switzerland","France",2,NA,NA,5,NA,NA,"Ottmar Hitzfeld",NA,"Didier Deschamps",NA,"Blerim Džemaili · 81|Granit Xhaka · 87","Olivier Giroud · 17|Blaise Matuidi · 18|Mathieu Valbuena · 40|Karim Benzema · 67|Moussa Sissoko · 73",51003,"Itaipava Arena Fonte Nova, Salvador","Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Svein Oddvar Moen (4th)",2014-06-20,"2–5","Björn Kuipers",NA,"Group stage","Brazil",2014
"Honduras","Ecuador",1,NA,NA,2,NA,NA,"Luis Suárez",NA,"Reinaldo Rueda",NA,"Carlo Costly · 31","Enner Valencia · 34|Enner Valencia · 65",39224,"Estádio Joaquim Américo Guimarães, Curitiba","Benjamin Williams (Referee) · Matthew Cream (AR1) · Hakan Anaz (AR2) · Yuichi Nishimura (4th)",2014-06-20,"1–2","Benjamin Williams",NA,"Group stage","Brazil",2014
"Colombia","Côte d'Ivoire",2,NA,NA,1,NA,NA,"José Pekerman",NA,"Sabri Lamouchi",NA,"James Rodríguez · 64|Juan Quintero · 70","Gervinho · 73",68748,"Estádio Nacional de Brasília, Brasília","Howard Webb (Referee) · Michael Mullarkey (AR1) · Darren Cann (AR2) · Víctor Carrillo (4th)",2014-06-19,"2–1","Howard Webb",NA,"Group stage","Brazil",2014
"Uruguay","England",2,NA,NA,1,NA,NA,"Óscar Tabárez",NA,"Roy Hodgson",NA,"Luis Suárez · 39|Luis Suárez · 85","Wayne Rooney · 75",62575,"Arena Corinthians, São Paulo","Carlos Velasco (Referee) · Roberto Alonso (AR1) · Juan Carlos Yuste (AR2) · Alireza Faghani (4th)",2014-06-19,"2–1","Carlos Velasco",NA,"Group stage","Brazil",2014
"Japan","Greece",0,NA,NA,0,NA,NA,"Alberto Zaccheroni",NA,"Fernando Santos",NA,NA,"Kostas Katsouranis · 38",39485,"Arena das Dunas, Natal","Joel Aguilar (Referee) · William Torres (AR1) · Juan Zumba (AR2) · Norbert Hauata (4th)",2014-06-19,"0–0","Joel Aguilar",NA,"Group stage","Brazil",2014
"Australia","Netherlands",2,NA,NA,3,NA,NA,"Ange Postecoglou",NA,"Louis van Gaal",NA,"Tim Cahill · 21|Mile Jedinak (P) · 54","Arjen Robben · 20|Robin van Persie · 58|Memphis Depay · 68",42877,"Estádio José Pinheiro Borba, Porto Alegre","Djamel Haïmoudi (Referee) · Redouane Achik (AR1) · Abdelhak Etchiali (AR2) · Bakary Papa Gassama (4th)",2014-06-18,"2–3","Djamel Haïmoudi",NA,"Group stage","Brazil",2014
"Spain","Chile",0,NA,NA,2,NA,NA,"Del Bosque",NA,"Jorge Sampaoli",NA,NA,"Eduardo Vargas · 20|Charles Aránguiz · 43",74101,"Estadio Jornalista Mário Filho, Rio de Janeiro","Mark Geiger (Referee) · Sean Hurd (AR1) · Joe Fletcher (AR2) · Nawaf Shukralla (4th)",2014-06-18,"0–2","Mark Geiger",NA,"Group stage","Brazil",2014
"Cameroon","Croatia",0,NA,NA,4,NA,NA,"Volker Finke",NA,"Niko Kovač",NA,"Alex Song · 40","Ivica Olić · 11|Ivan Perišić · 48|Mario Mandžukić · 61|Mario Mandžukić · 73",39982,"Arena da Amazônia, Manaus","Pedro Proença (Referee) · Bertino Miranda (AR1) · José Trigo (AR2) · Walter López (4th)",2014-06-18,"0–4","Pedro Proença",NA,"Group stage","Brazil",2014
"Belgium","Algeria",2,NA,NA,1,NA,NA,"Marc Wilmots",NA,"Vahid Halilhodžić",NA,"Marouane Fellaini · 70|Dries Mertens · 80","Sofiane Feghouli (P) · 25",56800,"Estádio Governador Magalhães Pinto, Belo Horizonte","Marcos Quintero (Referee) · Marvin Torrentera (AR1) · Marcos Quintero (AR2) · Alireza Faghani (4th)",2014-06-17,"2–1","Marcos Quintero",NA,"Group stage","Brazil",2014
"Brazil","Mexico",0,NA,NA,0,NA,NA,"Luiz Felipe Scolari",NA,"Miguel Herrera",NA,NA,NA,60342,"Estádio Castelão, Fortaleza","Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Svein Oddvar Moen (4th)",2014-06-17,"0–0","Cüneyt Çakιr",NA,"Group stage","Brazil",2014
"Russia","Korea Republic",1,NA,NA,1,NA,NA,"Fabio Capello",NA,"Hong Myung-bo",NA,"Aleksandr Kerzhakov · 74","Lee Keun-ho · 68",37603,"Arena Pantanal, Cuiabá","Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Roberto Moreno (4th)",2014-06-17,"1–1","Néstor Pitana",NA,"Group stage","Brazil",2014
"Germany","Portugal",4,NA,NA,0,NA,NA,"Joachim Löw",NA,"Paulo Bento",NA,"Thomas Müller (P) · 12|Mats Hummels · 32|Thomas Müller · 45+1|Thomas Müller · 78","Pepe · 37",51081,"Itaipava Arena Fonte Nova, Salvador","Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · Alioum Alioum (4th)",2014-06-16,"4–0","Milorad Mažić",NA,"Group stage","Brazil",2014
"IR Iran","Nigeria",0,NA,NA,0,NA,NA,"Carlos Queiroz",NA,"Stephen Keshi",NA,NA,NA,39081,"Estádio Joaquim Américo Guimarães, Curitiba","Carlos Vera (Referee) · Christian Lescano (AR1) · Byron Romero (AR2) · Wilmar Roldán (4th)",2014-06-16,"0–0","Carlos Vera",NA,"Group stage","Brazil",2014
"Ghana","United States",1,NA,NA,2,NA,NA,"Kwesi Appiah",NA,"Jürgen Klinsmann",NA,"André Ayew · 82","Clint Dempsey · 1|John Brooks · 86",39760,"Arena das Dunas, Natal","Jonas Eriksson (Referee) · Mathias Klasenius (AR1) · Daniel Wärnmark (AR2) · Norbert Hauata (4th)",2014-06-16,"1–2","Jonas Eriksson",NA,"Group stage","Brazil",2014
"Switzerland","Ecuador",2,NA,NA,1,NA,NA,"Ottmar Hitzfeld",NA,"Reinaldo Rueda",NA,"Admir Mehmedi · 48|Haris Seferović · 90+3","Enner Valencia · 22",68351,"Estádio Nacional de Brasília, Brasília","Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Bahadır Koçkarov (AR2) · Svein Oddvar Moen (4th)",2014-06-15,"2–1","Ravshan Irmatov",NA,"Group stage","Brazil",2014
"France","Honduras",3,NA,NA,0,NA,NA,"Didier Deschamps",NA,"Luis Suárez",NA,"Karim Benzema (P) · 45|Noel Valladares (OG) · 48|Karim Benzema · 72","Wilson Palacios · 43",43012,"Estádio José Pinheiro Borba, Porto Alegre","Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Peter O'Leary (4th)",2014-06-15,"3–0","Sandro Ricci",NA,"Group stage","Brazil",2014
"Argentina","Bosnia and Herzegovina",2,NA,NA,1,NA,NA,"Alejandro Sabella",NA,"Safet Sušić",NA,"Sead Kolašinac (OG) · 3|Lionel Messi · 65","Vedad Ibišević · 85",74738,"Estadio Jornalista Mário Filho, Rio de Janeiro","Joel Aguilar (Referee) · William Torres (AR1) · Juan Zumba (AR2) · Djamel Haïmoudi (4th)",2014-06-15,"2–1","Joel Aguilar",NA,"Group stage","Brazil",2014
"Colombia","Greece",3,NA,NA,0,NA,NA,"José Pekerman",NA,"Fernando Santos",NA,"Pablo Armero · 6|Teófilo Gutiérrez · 58|James Rodríguez · 90+3",NA,57174,"Estádio Governador Magalhães Pinto, Belo Horizonte","Mark Geiger (Referee) · Sean Hurd (AR1) · Joe Fletcher (AR2) · Alireza Faghani (4th)",2014-06-14,"3–0","Mark Geiger",NA,"Group stage","Brazil",2014
